station_id,station_name,latitude,longitude
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
417,Barclay St & Church St,40.71291224,-74.01020234
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127
3141,1 Ave & E 68 St,40.76500525,-73.95818491
439,E 4 St & 2 Ave,40.7262807,-73.98978041
3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956
229,Great Jones St,40.72743423,-73.99379025
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111
450,W 49 St & 8 Ave,40.76227205,-73.98788205
3837,Broadway & Kosciuszko St,40.69329,-73.92852
3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189606
3903,Jefferson Ave & Evergreen Ave,40.68989,-73.91458
454,E 51 St & 1 Ave,40.75455731,-73.96592976
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
520,W 52 St & 5 Ave,40.75992262,-73.97648516
479,9 Ave & W 45 St,40.76019252,-73.9912551
335,Washington Pl & Broadway,40.72903917,-73.99404649
412,Forsyth St & Canal St,40.7158155,-73.99422366
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
3817,Withers St & Kingsland Ave,40.71773,-73.94051
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772
3768,Waterbury St & Stagg St,40.71019,-73.93734
3391,E 106 St & 1 Ave,40.7892529,-73.93956237
3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103554
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475
301,E 2 St & Avenue B,40.72217444,-73.98368779
3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759
386,Centre St & Worth St,40.71494807,-74.00234482
3855,Frost St & Debevoise Ave,40.71882,-73.93948
3842,Bushwick Ave & Dekalb Ave,40.69502,-73.92825
3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573
3731,W 47 St & 6 Ave,40.758397,-73.98255
525,W 34 St & 11 Ave,40.75594159,-74.0021163
3828,Eldert St & Bushwick Ave,40.68652,-73.91321
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871246
3285,W 87 St & Amsterdam Ave,40.78839,-73.9747
3364,Carroll St & 5 Ave,40.6751622,-73.9814832
3335,Union St & 4 Ave,40.6772744,-73.98282002
3770,Central Ave & Flushing Ave,40.702831,-73.9333
3150,E 85 St & York Ave,40.77536905,-73.94803392
362,Broadway & W 37 St,40.75172632,-73.98753523
499,Broadway & W 60 St,40.76915505,-73.98191841
72,W 52 St & 11 Ave,40.76727216,-73.99392888
440,E 45 St & 3 Ave,40.75255434,-73.97282625
3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397
347,Greenwich St & W Houston St,40.728846,-74.008591
3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
3419,Douglass St & 4 Ave,40.6792788,-73.98154004
3287,W 87 St & West End Ave,40.789622,-73.97757
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406
3767,Powers St & Olive St,40.71323,-73.93894
3243,E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198
295,Pike St & E Broadway,40.71406667,-73.99293911
341,Stanton St & Mangin St,40.71782143,-73.97628939
3527,5 Ave & E 126 St,40.80698,-73.941747
3549,Grand Ave & Bergen St,40.678045,-73.962408
3777,Stockholm St & Wilson Ave,40.699304,-73.923044
505,6 Ave & W 33 St,40.74901271,-73.98848395
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771
481,S 3 St & Bedford Ave,40.71260486,-73.96264403
3514,Astoria Park S & Shore Blvd,40.7767,-73.927631
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625
3699,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373
312,Allen St & Stanton St,40.722055,-73.989111
350,Clinton St & Grand St,40.71559509,-73.9870295
3720,Wyckoff St & Bond St,40.68461653897949,-73.98721285164356
447,8 Ave & W 52 St,40.76370739,-73.9851615
3771,McKibbin St & Bogart St,40.706237,-73.933871
3324,3 Ave & 14 St,40.6685455,-73.99333264
3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627
254,W 11 St & 6 Ave,40.73532427,-73.99800419
3564,21 St & 36 Ave,40.7601853,-73.9362726
3831,Broadway & Hancock St,40.68663,-73.9168
3637,Fulton St & Waverly Ave,40.68323865460341,-73.96599590778351
239,Willoughby St & Fleet St,40.69196566,-73.9813018
3263,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097
276,Duane St & Greenwich St,40.71748752,-74.0104554
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
402,Broadway & E 22 St,40.7403432,-73.98955109
3721,31 St & Newtown Ave,40.7675487799971,-73.9209334552288
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104
3689,W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028
247,Perry St & Bleecker St,40.73535398,-74.00483091
3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473
3820,Willoughby Ave & Myrtle Ave,40.69757,-73.93098
157,Henry St & Atlantic Ave,40.69089272,-73.99612349
3398,Smith St & 9 St,40.6746957,-73.99785768
